Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D6624","815E",-35,-48,167,-11,0,99,21.59,51.17
"3D6624","815E",-35,-45,169,-10,0,99,21.64,51.18
"3D6624","815E",-42,-47,202,-10,0,99,21.69,51.16
"3D6624","815E",-37,-48,207,-10,0,99,21.69,51.14
"3D6624","815E",-37,-49,204,-11,0,99,21.63,51.06
"3D6624","815E",-37,-47,179,-10,0,99,21.66,51.11
"3D6624","815E",-37,-48,157,-10,0,99,21.66,51.10
"3D6624","815E",-34,-47,162,-10,0,99,21.66,51.09
"3D6624","815E",-36,-47,162,-11,0,99,21.64,51.09
"3D6624","815E",-36,-47,159,-11,0,99,21.65,51.09
"3D6624","815E",-36,-48,150,-11,0,99,21.66,51.08
"3D6624","815E",-36,-47,159,-10,0,99,21.68,51.14
"3D6624","815E",-36,-47,167,-10,0,99,21.67,51.20
"3D6624","815E",-36,-47,154,-11,0,99,21.68,51.27
"3D6624","815E",-36,-47,152,-11,0,99,21.68,51.22
"3D6624","815E",-36,-46,167,-10,0,99,21.66,51.17
"3D6624","815E",-36,-46,172,-11,0,99,21.66,51.12
"3D6624","815E",-36,-46,159,-11,0,99,21.66,51.14
"3D6624","815E",-36,-48,117,-12,0,99,21.64,51.16
"3D6624","815E",-36,-49,169,-11,0,99,21.67,51.17
"3D6624","815E",-36,-49,169,-11,0,99,21.66,51.13
"3D6624","815E",-42,-50,164,-11,0,99,21.70,51.13
"3D6624","815E",-36,-49,152,-11,0,99,21.68,51.14
"3D6624","815E",-36,-48,162,-11,0,99,21.68,51.08
"3D6624","815E",-42,-48,159,-11,0,99,21.68,51.13
"3D6624","815E",-36,-48,157,-11,0,99,21.65,51.13
"3D6624","815E",-36,-49,154,-12,0,99,21.67,51.21
"3D6624","815E",-34,-49,139,-12,0,99,21.62,51.27
"3D6624","815E",-37,-46,144,-10,0,99,21.61,51.29
"3D6624","815E",-37,-46,172,-10,0,99,21.60,51.31
"3D6624","815E",-34,-46,162,-10,0,99,21.56,51.39
"3D6624","815E",-37,-47,157,-10,0,99,21.56,51.38
"3D6624","815E",-37,-48,147,-11,0,99,21.53,51.40
"3D6624","815E",-37,-47,152,-11,0,99,21.51,51.37
"3D6624","815E",-37,-46,159,-9,0,99,21.52,51.36
"3D6624","815E",-37,-46,157,-10,0,99,21.49,51.39
"3D6624","815E",-37,-47,142,-11,0,99,21.51,51.31
"3D6624","815E",-35,-47,157,-10,0,99,21.45,51.29
"3D6624","815E",-35,-47,164,-10,0,99,21.46,51.44
"3D6624","815E",-35,-47,139,-11,0,99,21.46,51.60
"3D6624","815E",-37,-47,162,-10,0,99,21.48,51.60
"3D6624","815E",-37,-47,172,-10,0,99,21.49,51.65
"3D6624","815E",-35,-47,164,-10,0,99,21.43,51.77
"3D6624","815E",-35,-47,169,-10,0,99,21.46,51.89
"3D6624","815E",-37,-47,159,-11,0,99,21.48,52.06
"3D6624","815E",-35,-47,144,-11,0,99,21.45,52.02
"3D6624","815E",-37,-46,150,-11,0,99,21.41,51.90
"3D6624","815E",-37,-47,157,-10,0,99,21.47,51.80
"3D6624","815E",-37,-47,164,-10,0,99,21.45,51.74
"3D6624","815E",-37,-48,144,-11,0,99,21.44,51.95
"3D6624","815E",-37,-47,177,-10,0,99,21.42,52.02
"3D6624","815E",-37,-47,189,-11,0,99,21.47,51.81
"3D6624","815E",-37,-49,175,-11,0,99,21.50,51.69
"3D6624","815E",-34,-48,177,-11,0,99,21.52,51.62
"3D6624","815E",-36,-48,169,-11,0,99,21.51,51.73
"3D6624","815E",-36,-47,184,-10,0,99,21.49,51.64
"3D6624","815E",-36,-47,172,-11,0,99,21.53,51.56
"3D6624","815E",-36,-47,150,-11,0,99,21.52,51.50
"3D6624","815E",-36,-47,147,-11,0,99,21.53,51.49
"3D6624","815E",-36,-46,179,-10,0,99,21.54,51.59
"3D6624","815E",-36,-46,169,-10,0,99,21.54,51.70
"3D6624","815E",-36,-47,137,-11,0,99,21.57,51.76
"3D6624","815E",-36,-47,157,-11,0,99,21.52,51.71
"3D6624","815E",-38,-47,162,-11,0,99,21.57,51.70
